Number,Description,Last Updated,SEC Number,Topic(s),page
3,Initial statement of beneficial ownership of securities (PDF),May 2019,SEC1473,"Directors, Officers, Securities Exchange Act of 1934, Significant Shareholders, Investors",2
3,Initial statement of beneficial ownership of securities - general instructions (PDF),May 2019,SEC1472,"Directors, Officers, Securities Exchange Act of 1934, Significant Shareholders, Investors",2
4,Statement of changes in beneficial ownership of securities (PDF),Feb. 2023,SEC1474,"Directors, Officers, Securities Exchange Act of 1934, Significant Shareholders, Investors",2
4,Statement of changes in beneficial ownership of securities - general instructions (PDF),Feb. 2025,SEC1475,"Directors, Officers, Significant Shareholders",2
40-F,Registration statement pursuant to Section 12 or annual report pursuant to Section 13(a) or 15(d) (PDF),Feb. 2025,SEC2285,"Securities Exchange Act of 1934, Public Companies, International",2
5,Annual statement of changes in beneficial ownership of securities (PDF),Feb. 2023,SEC2270T,"Directors, Officers, Securities Exchange Act of 1934, Significant Shareholders, Investors",2
5,Annual statement of changes in beneficial ownership of securities - general instructions (PDF),Feb. 2023,SEC2270,"Directors, Officers, Significant Shareholders",2
6-K,Report of foreign private issuer pursuant to Rule 13a-16 or 15d-16 under the Securities Exchange Act of 1934 (PDF),Feb. 2025,SEC1815,"Securities Exchange Act of 1934, Public Companies, International",2
7-M,"Irrevocable Appointment of Agent for Service of Process, Pleadings and Other Papers by Individual Non-Resident Broker or Dealer (PDF)",June 2012,SEC876,Broker-Dealers,2
8-A,Registration of certain classes of securities pursuant to Section 12(b) or (g) (PDF),May 2019,SEC1922,"Securities Exchange Act of 1934, Public Companies",2
8-K,Current report pursuant to Section 13 or 15(d) (PDF),Feb. 2025,SEC873,"Securities Exchange Act of 1934, Public Companies",2
8-M,"Irrevocable Appointment of Agent for Service of Process, Pleadings and Other Papers by Corporate Non-Resident Broker or Dealer (PDF)",June 2012,SEC877,Broker-Dealers,2
9-M,"Irrevocable Appointment of Agent for Service of Process, Pleadings and Other Papers by Partnership Non-Resident Broker or Dealer (PDF)",June 2012,SEC878,Broker-Dealers,2
ABS DD-15E,Certification of Provider of Third-Party Due Diligence Services for Asset-Backed Securities (PDF),June 2015,SEC2917,"Form ABS Due Diligence-15E, Securities Exchange Act of 1934",2
ABS-15G,Asset-Backed Securitizer Report (PDF),June 2015,SEC2860,Securities Exchange Act of 1934,2
ABS-EE,Form for Submission of Electronic Exhibits for Asset-Backed Securities (PDF),Nov. 2014,SEC2910,Securities Act of 1933,2
ADV,Uniform Application for Investment Adviser Registration and Report by Exempt Reporting Advisers (PDF),Aug. 2022,SEC1707,"Investment Advisers Act of 1940, Investment Advisers",2
ADV-E,Certificate of accounting of client securities and funds in the possession or custody of an investment adviser (PDF),Jan. 2013,SEC2223,"Investment Advisers Act of 1940, Investment Advisers",2
ADV-H,Application for a temporary or continuing hardship exemption (PDF),Sept. 2011,SEC2566,"Investment Advisers Act of 1940, Investment Advisers",3
ADV-NR,Appointment of agent for service of process by non-resident general partner and non-resident managing agent of an investment adviser (PDF),Aug. 2022,SEC2565,"Investment Advisers Act of 1940, Investment Advisers",3
ADV-W,Notice of withdrawal from registration as investment adviser (PDF),July 2017,SEC777,"Investment Advisers Act of 1940, Investment Advisers",3
ATS,"Initial operation report, amendment to initial operation report and cessation of operations report for alternative trading systems (PDF)",Sept. 2021,SEC2550,Alternative Trading Systems,3
ATS-N,NMS Stock Alternative Trading Systems (PDF),Sept. 2021,,Alternative Trading Systems,3
ATS-R,Quarterly report of alternative trading systems activities (PDF),Sept. 2021,SEC2551,Alternative Trading Systems,3
BD,Uniform application for broker-dealer registration (PDF),Jan. 2008,SEC1490,Broker-Dealers,3
BD-N,Notice of registration as a broker-dealer for the purpose of trading security futures products pursuant to Section 15(b)(11) of the Securities Exchange Act of 1934 (PDF),Jan. 2008,SEC1500,Broker-Dealers,3
BDW,Uniform request for broker-dealer withdrawal (PDF),Aug. 2023,SEC122,Broker-Dealers,3
C,Form C (PDF),Feb. 2025,SEC 2930,"Securities Act of 1933, Small Businesses",3
CA-1,Registration or exemption from registration as a clearing agency and for amendment to registration (PDF),Dec. 2024,SEC1853,Clearing Agencies,3
CB,Tender offer/rights offering notification form (PDF),July 2022,SEC2560,"Proxy and Tender Offer, Securities Act of 1933, Securities Exchange Act of 1934",3
CFPORTAL,Application or Amendment to Application for Registration or Withdrawal from Registration as Funding Portal Under the Securities Exchange Act of 1934 (PDF),May 2018,,"Funding Portal, Securities Exchange Act of 1934",3
CRS,Customer Relationship Summary (PDF),May 2020,SEC 2942,"Securities Exchange Act of 1934, Broker-Dealers",3
CUSTODY,Form Custody for Broker-Dealers (PDF),Dec. 2013,SEC2897,"Securities Exchange Act of 1934, Broker-Dealers",3
D,Notice of Exempt Offering of Securities,May 2017,SEC1972,"Securities Act of 1933, Small Businesses",3
F-1,Registration statement for securities of certain foreign private issuers (PDF),Feb. 2025,SEC1981,"Securities Act of 1933, International",3
F-10,Registration statement for securities of certain Canadian issuers (PDF),July 2022,SEC2292,"Securities Act of 1933, International",3
F-3,Registration statement for securities of certain foreign private issuers (PDF),Feb. 2025,SEC1983,"Securities Act of 1933, International",3
F-4,Registration statement for securities of certain foreign private issuers issued in certain business combination transactions (PDF),Feb. 2025,SEC2078,"Securities Act of 1933, International",3
F-6,Registration statement under the Securities Act of 1933 for depositary shares evidenced by American depositary receipts (PDF),Feb. 2025,SEC2001,"Securities Act of 1933, International",3
